support,friends,female,age,education,attend,ideology,party
0,3,0,99,1,2,2,Republican
1,3,0,50,1,2,2,Democrat
1,3,0,33,1,2,4,Independent
0,3,0,49,2,5,1,Independent
0,3,0,40,2,5,2,Democrat
1,3,0,40,2,4,2,Republican
0,3,0,74,2,4,3,Democrat
1,3,0,19,2,2,1,Independent
1,3,0,47,2,2,2,Republican
1,3,0,50,2,2,2,Democrat
0,3,0,54,2,2,2,Democrat
1,3,0,35,2,2,2,Independent
0,3,0,49,2,1,4,Republican
1,3,0,65,2,0,5,Democrat
1,3,0,74,3,4,2,Independent
1,3,0,39,3,4,3,Independent
1,3,0,19,3,3,4,Democrat
1,3,0,43,3,2,2,Independent
1,3,0,21,3,1,3,Independent
1,3,0,32,3,1,4,Democrat
1,3,0,47,3,0,2,Republican
1,3,0,27,3,0,3,Independent
0,3,0,54,4,5,3,Independent
1,3,0,68,4,5,4,Democrat
1,3,0,61,4,4,2,Republican
1,3,0,46,4,4,3,Republican
1,3,0,70,4,4,3,Independent
1,3,0,82,4,4,4,Independent
1,3,0,62,4,1,3,Independent
1,3,0,26,4,1,4,Democrat
0,3,0,22,5,5,1,Republican
1,3,0,31,5,5,2,Republican
1,3,0,37,5,4,1,Republican
0,3,0,62,5,4,2,Republican
1,3,0,77,5,4,2,Republican
0,3,0,51,5,4,2,Independent
0,3,0,28,5,3,3,Republican
1,3,0,33,5,3,3,Independent
1,3,0,22,5,2,2,Republican
1,3,0,38,5,2,5,Democrat
1,3,0,59,5,1,2,Republican
1,3,0,23,5,1,3,Democrat
0,3,0,47,5,1,4,Republican
1,3,0,82,5,1,4,Democrat
1,3,0,63,5,1,4,Independent
1,3,0,45,5,0,1,Democrat
1,3,0,28,5,0,3,Democrat
1,3,0,73,5,0,3,Independent
1,3,0,27,5,0,4,Democrat
0,3,0,65,6,4,2,Republican
1,3,0,47,7,5,2,Republican
0,3,0,45,7,5,3,Democrat
0,3,0,72,7,4,2,Republican
1,3,0,49,7,4,2,Democrat
1,3,0,82,7,4,4,Democrat
0,3,0,70,7,3,2,Independent
1,3,0,33,7,3,3,Republican
0,3,0,71,7,1,2,Republican
1,3,0,75,7,1,4,Democrat
1,3,0,38,7,1,4,Democrat
1,3,0,55,7,0,2,Independent
1,3,1,18,1,2,3,Independent
0,3,1,61,2,5,3,Democrat
1,3,1,47,2,5,3,Democrat
0,3,1,58,2,5,3,Democrat
0,3,1,52,2,5,4,Democrat
0,3,1,60,2,4,2,Republican
1,3,1,46,2,4,2,Democrat
0,3,1,18,2,4,3,Republican
1,3,1,19,2,4,5,Democrat
1,3,1,22,2,3,1,Republican
1,3,1,65,2,3,3,Republican
1,3,1,49,2,2,3,Democrat
1,3,1,19,2,2,4,Independent
1,3,1,33,2,1,3,Democrat
1,3,1,20,2,1,4,Democrat
1,3,1,32,2,0,4,Independent
1,3,1,82,2,0,5,Democrat
1,3,1,30,2,0,5,Democrat
1,3,1,33,2,0,5,Democrat
0,3,1,78,3,5,1,Democrat
0,3,1,99,3,5,3,Democrat
1,3,1,64,3,5,4,Democrat
0,3,1,71,3,4,2,Republican
1,3,1,52,3,4,2,Democrat
1,3,1,27,3,4,3,Republican
1,3,1,20,3,3,3,Republican
0,3,1,61,3,2,2,Republican
1,3,1,50,3,2,5,Independent
1,3,1,50,3,0,2,Republican
1,3,1,73,3,0,2,Independent
1,3,1,21,3,0,4,Independent
1,3,1,31,3,0,5,Independent
0,3,1,67,4,5,1,Republican
0,3,1,41,4,4,2,Independent
0,3,1,62,4,2,1,Republican
1,3,1,39,4,2,4,Independent
0,3,1,27,5,5,3,Democrat
1,3,1,45,5,5,3,Independent
0,3,1,50,5,4,3,Democrat
1,3,1,25,5,4,3,Democrat
0,3,1,64,5,4,3,Independent
0,3,1,42,5,4,5,Democrat
1,3,1,42,5,3,3,Republican
1,3,1,47,5,3,3,Democrat
1,3,1,74,5,3,3,Democrat
1,3,1,62,5,3,4,Democrat
1,3,1,57,5,3,4,Democrat
1,3,1,33,5,3,4,Independent
1,3,1,32,5,2,3,Democrat
1,3,1,46,5,2,3,Independent
1,3,1,23,5,2,4,Democrat
1,3,1,35,5,1,2,Independent
1,3,1,38,5,1,3,Republican
1,3,1,25,5,1,3,Independent
1,3,1,76,5,1,4,Independent
1,3,1,22,5,1,5,Democrat
1,3,1,22,5,0,5,Democrat
1,3,1,30,5,0,5,Independent
1,3,1,51,6,3,2,Independent
1,3,1,50,6,0,5,Independent
0,3,1,42,7,5,2,Republican
1,3,1,41,7,5,3,Independent
1,3,1,48,7,5,3,Independent
1,3,1,69,7,4,3,Republican
1,3,1,41,7,4,3,Democrat
1,3,1,38,7,4,3,Independent
1,3,1,70,7,3,3,Republican
1,3,1,49,7,3,4,Independent
1,3,1,44,7,2,3,Independent
1,3,1,35,7,2,4,Democrat
1,3,1,49,7,2,5,Democrat
1,3,1,50,7,1,4,Democrat
1,3,1,34,7,1,5,Independent
1,3,1,52,7,0,4,Democrat
1,3,1,55,7,0,5,Democrat
1,3,1,68,7,0,5,Democrat
1,2,0,30,0,2,3,Democrat
0,2,0,60,1,5,4,Independent
1,2,0,81,1,4,3,Independent
1,2,0,65,1,2,2,Democrat
1,2,0,25,1,2,3,Republican
1,2,0,56,1,1,2,Democrat
0,2,0,64,1,1,3,Republican
1,2,0,43,1,1,3,Independent
1,2,0,19,1,0,2,Democrat
0,2,0,18,2,5,1,Republican
1,2,0,41,2,5,1,Independent
0,2,0,62,2,5,2,Independent
1,2,0,19,2,5,4,Independent
0,2,0,62,2,4,2,Republican
0,2,0,58,2,4,2,Republican
1,2,0,59,2,4,2,Republican
0,2,0,34,2,4,2,Democrat
1,2,0,30,2,4,4,Independent
1,2,0,49,2,3,2,Independent
0,2,0,47,2,3,3,Independent
1,2,0,56,2,3,4,Independent
0,2,0,60,2,2,2,Democrat
1,2,0,39,2,2,2,Independent
0,2,0,48,2,2,2,Independent
1,2,0,61,2,1,2,Republican
1,2,0,22,2,1,2,Republican
0,2,0,49,2,1,4,Democrat
